epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,705200,1.33801,1.85561,1.27791,0.51465,0.15217,0.14872,0.09925,1.21107,2.47193,1.25681,0.005743,0.005743,0.005743
45,719960,1.33669,1.85349,1.27665,0.52218,0.1528,0.15057,0.10088,1.2096,2.46701,1.25578,0.005644,0.005644,0.005644
46,734709,1.33594,1.85093,1.27588,0.53247,0.15339,0.15065,0.10099,1.20935,2.45727,1.25484,0.005545,0.005545,0.005545
47,749603,1.33413,1.8481,1.27504,0.52726,0.15326,0.15127,0.10116,1.20879,2.46403,1.25414,0.005446,0.005446,0.005446
48,764806,1.33357,1.84561,1.27412,0.52791,0.15325,0.15158,0.10176,1.20745,2.4519,1.25286,0.005347,0.005347,0.005347
49,780410,1.33161,1.84254,1.27281,0.51724,0.15382,0.15258,0.10208,1.20692,2.45199,1.25189,0.005248,0.005248,0.005248
50,795438,1.33108,1.84045,1.27237,0.51596,0.15363,0.15261,0.10238,1.20722,2.45179,1.25141,0.005149,0.005149,0.005149
51,810167,1.32974,1.83812,1.27128,0.53525,0.1537,0.15367,0.10313,1.20661,2.44457,1.25126,0.00505,0.00505,0.00505
52,824811,1.32818,1.83497,1.27078,0.52143,0.15544,0.15211,0.10168,1.2056,2.44276,1.25012,0.004951,0.004951,0.004951
53,839627,1.32714,1.83236,1.26979,0.53137,0.15512,0.15418,0.10354,1.20445,2.43689,1.24903,0.004852,0.004852,0.004852
54,854717,1.32537,1.82945,1.26855,0.53351,0.15719,0.15423,0.10332,1.20358,2.43074,1.24815,0.004753,0.004753,0.004753
55,869912,1.32446,1.82688,1.26779,0.52358,0.1562,0.15589,0.10484,1.20341,2.4321,1.24799,0.004654,0.004654,0.004654
56,885067,1.32274,1.82394,1.26708,0.52103,0.15611,0.15388,0.10312,1.20219,2.42908,1.24689,0.004555,0.004555,0.004555
57,899921,1.32163,1.82148,1.26607,0.5137,0.15721,0.15533,0.10405,1.20167,2.42622,1.2463,0.004456,0.004456,0.004456
58,914493,1.32012,1.81769,1.26499,0.5398,0.15745,0.15642,0.10505,1.20076,2.42036,1.24504,0.004357,0.004357,0.004357
59,929228,1.31959,1.81674,1.26449,0.52731,0.15863,0.15657,0.10519,1.2003,2.41414,1.24371,0.004258,0.004258,0.004258
60,944137,1.31794,1.81327,1.26349,0.52997,0.1583,0.15675,0.10527,1.19957,2.41274,1.24374,0.004159,0.004159,0.004159
61,959732,1.31639,1.80996,1.26268,0.52953,0.15975,0.15719,0.10542,1.19923,2.41162,1.24275,0.00406,0.00406,0.00406
62,974950,1.31471,1.80675,1.2614,0.5176,0.15988,0.15752,0.10575,1.19851,2.41059,1.2419,0.003961,0.003961,0.003961
63,990107,1.31324,1.80382,1.26027,0.51366,0.16071,0.15795,0.10602,1.198,2.4035,1.24083,0.003862,0.003862,0.003862
64,1.00473e+06,1.31224,1.80076,1.25962,0.51623,0.16124,0.15851,0.10641,1.19623,2.39735,1.23922,0.003763,0.003763,0.003763
65,1.01952e+06,1.31031,1.79705,1.25813,0.53324,0.16139,0.15906,0.10678,1.19566,2.39588,1.23905,0.003664,0.003664,0.003664
66,1.03428e+06,1.30948,1.79411,1.25711,0.53114,0.16176,0.16074,0.10776,1.19461,2.38965,1.23735,0.003565,0.003565,0.003565
67,1.04939e+06,1.30743,1.79069,1.25623,0.53753,0.16217,0.16056,0.10798,1.19442,2.3834,1.23751,0.003466,0.003466,0.003466
68,1.06453e+06,1.30588,1.78793,1.25512,0.53107,0.16239,0.16052,0.10773,1.19384,2.3864,1.23582,0.003367,0.003367,0.003367
69,1.07982e+06,1.30403,1.78393,1.25394,0.52446,0.16409,0.16135,0.10835,1.19206,2.37683,1.23532,0.003268,0.003268,0.003268
70,1.09451e+06,1.3027,1.7813,1.25285,0.52575,0.16386,0.16215,0.10904,1.19165,2.37382,1.23424,0.003169,0.003169,0.003169
71,1.10925e+06,1.30113,1.7776,1.25161,0.51873,0.16453,0.16213,0.10897,1.19095,2.37622,1.23394,0.00307,0.00307,0.00307
72,1.12403e+06,1.29914,1.77394,1.25098,0.52843,0.165,0.16275,0.10931,1.18987,2.36533,1.23216,0.002971,0.002971,0.002971
73,1.13941e+06,1.29769,1.76975,1.24965,0.53989,0.16554,0.16354,0.10989,1.18897,2.36146,1.23142,0.002872,0.002872,0.002872
74,1.15456e+06,1.29558,1.76662,1.24825,0.52859,0.16704,0.16359,0.10992,1.18821,2.35645,1.23029,0.002773,0.002773,0.002773
75,1.16959e+06,1.29409,1.76258,1.24694,0.52226,0.1675,0.16436,0.11048,1.1874,2.35316,1.22946,0.002674,0.002674,0.002674
76,1.18446e+06,1.29237,1.7595,1.2459,0.52039,0.16924,0.16509,0.11097,1.18628,2.34438,1.22848,0.002575,0.002575,0.002575
77,1.19926e+06,1.29045,1.75494,1.24481,0.53049,0.16777,0.16625,0.11187,1.1851,2.3434,1.22718,0.002476,0.002476,0.002476
78,1.21401e+06,1.28796,1.75116,1.24317,0.52304,0.16921,0.16664,0.11235,1.18365,2.3372,1.2256,0.002377,0.002377,0.002377
79,1.22889e+06,1.28599,1.7469,1.24174,0.52427,0.1705,0.16709,0.11254,1.18335,2.3365,1.2246,0.002278,0.002278,0.002278
80,1.24398e+06,1.2843,1.74245,1.24041,0.51113,0.17027,0.16775,0.11315,1.18203,2.3285,1.22397,0.002179,0.002179,0.002179
81,1.25917e+06,1.28234,1.73789,1.23919,0.52123,0.17122,0.16843,0.11367,1.18166,2.32639,1.22282,0.00208,0.00208,0.00208
82,1.27403e+06,1.27985,1.73384,1.23774,0.51228,0.17359,0.16937,0.11432,1.17959,2.32092,1.22002,0.001981,0.001981,0.001981
83,1.28892e+06,1.27799,1.72932,1.23603,0.52336,0.17322,0.16918,0.11403,1.17966,2.32013,1.21931,0.001882,0.001882,0.001882
84,1.30381e+06,1.27519,1.72415,1.23458,0.51035,0.17457,0.17,0.11472,1.17759,2.3107,1.21831,0.001783,0.001783,0.001783
85,1.31872e+06,1.27319,1.71916,1.23311,0.51135,0.17546,0.17042,0.11496,1.17688,2.30737,1.21778,0.001684,0.001684,0.001684
86,1.33378e+06,1.27039,1.71375,1.2313,0.52137,0.17528,0.17185,0.11604,1.1758,2.30178,1.21583,0.001585,0.001585,0.001585
87,1.34929e+06,1.26751,1.70765,1.22939,0.50986,0.17682,0.17236,0.11635,1.17537,2.30129,1.21579,0.001486,0.001486,0.001486
88,1.36459e+06,1.26541,1.70339,1.22794,0.51556,0.17761,0.17291,0.11673,1.17425,2.29476,1.21415,0.001387,0.001387,0.001387
89,1.37984e+06,1.26243,1.69704,1.22599,0.5128,0.17952,0.17388,0.11764,1.17219,2.28412,1.21197,0.001288,0.001288,0.001288
90,1.39467e+06,1.25971,1.69072,1.22427,0.518,0.17893,0.17457,0.11796,1.17186,2.28358,1.21198,0.001189,0.001189,0.001189
91,1.40995e+06,1.25649,1.63558,1.2129,0.49498,0.18239,0.17499,0.1188,1.16735,2.27404,1.20648,0.00109,0.00109,0.00109
92,1.42516e+06,1.25018,1.62141,1.20808,0.4882,0.18335,0.17602,0.11962,1.16495,2.26539,1.20266,0.000991,0.000991,0.000991
93,1.4404e+06,1.24491,1.61107,1.20427,0.49023,0.185,0.17689,0.12035,1.16289,2.26011,1.20081,0.000892,0.000892,0.000892
94,1.46888e+06,1.23979,1.60029,1.20088,0.49496,0.18622,0.1779,0.1212,1.16156,2.25915,1.19935,0.000793,0.000793,0.000793
95,1.48457e+06,1.23429,1.58893,1.19707,0.48693,0.18796,0.17937,0.1223,1.15971,2.24782,1.19639,0.000694,0.000694,0.000694
96,1.49953e+06,1.22794,1.57645,1.19329,0.48462,0.19023,0.18114,0.12363,1.15799,2.23855,1.1949,0.000595,0.000595,0.000595
97,1.51453e+06,1.2211,1.56281,1.18855,0.48524,0.19061,0.18244,0.12453,1.15654,2.23242,1.19282,0.000496,0.000496,0.000496
98,1.5296e+06,1.21418,1.54857,1.18439,0.47683,0.19361,0.18389,0.12581,1.15411,2.2215,1.19063,0.000397,0.000397,0.000397
99,1.54462e+06,1.2058,1.53291,1.17912,0.48127,0.19493,0.18514,0.12671,1.15243,2.21724,1.1882,0.000298,0.000298,0.000298
100,1.55931e+06,1.19676,1.51491,1.17335,0.48279,0.19607,0.18653,0.12772,1.15096,2.20951,1.18545,0.000199,0.000199,0.000199
